question_id,question,answer,score,matched_terms,chunk_id,job_url,company,title,location
1,Which companies are hiring for roles with titles containing 'Machine Learning' and that require Python in the description?,"Application Security Engineer Palo Alto, CA | xAI Back to jobs Application Security Engineer Palo Alto, CA Apply About xAI xAI’s mission is to create AI systems that can accurately understand the universe and aid humanity in its pursuit of knowledge. Our team is small, highly motivated, and focused on engineering excellence. This organization is for individuals who appreciate challenging themselves and thrive on curiosity. We operate with a flat organizational structure. All employees are...",3,"learning, machine, python",4559147007-1,https://job-boards.greenhouse.io/xai/jobs/4559147007,xAI,"Application Security Engineer Palo Alto, CA",
2,Which job openings located in a U.S. city require both Kubernetes and cloud architecture skills?,"Proven experience building tools or systems from scratch, with a focus on scalable solutions. Proficiency in designing scalable backend architectures to support secure systems. Familiarity with security testing frameworks (e.g., Burp Suite, OWASP ZAP, SAST/DAST). Experience with Docker and Kubernetes for deploying and securing containerized applications. Knowledge of software supply chain tools, including SBOM management and dependency scanning. PREFERRED SKILLS AND EXPERIENCE: Experience...",6,"architecture, cloud, kubernetes, s, skills, u",4835611007-4,https://job-boards.greenhouse.io/xai/jobs/4835611007,xAI,"Security Engineer - Platform Security Palo Alto, CA",
3,Which job postings have a role category containing 'Data' and mention ETL or pipeline experience in the description?,RESPONSIBILITIES: Designing and architecting recommendation algorithms across various product surfaces Leverage all of xAI’s infra and AI stacks to dramatically enhance the user experience Write data pipelines and training jobs that continuously learn from product data.,4,"data, experience, job, pipeline",4703144007-3,https://job-boards.greenhouse.io/xai/jobs/4703144007,xAI,"Member of Technical Staff - Recommendation Systems Palo Alto, CA",
4,Which companies are hiring for roles that mention both research and production in the description?,"They should be able to concisely and accurately share knowledge with their teammates. RESPONSIBILITIES: Optimizing the latency and throughput of model inference. Building reliable and performant production serving systems to serve billions of users. Accelerating research on scaling test-time compute and rollout in reinforcement learning training. Model-hardware co-design for next-generation architectures BASIC QUALIFICATIONS: Worked on system optimizations for model serving, such as batching,...",2,"production, research",4533894007-2,https://job-boards.greenhouse.io/xai/jobs/4533894007,xAI,"Member of Technical Staff - Inference Palo Alto, CA",
5,Which job titles mention 'Infrastructure' and require CI/CD or DevOps experience?,"Building environments for AI agents. Tools for automating common workflows. Improving alerts, metrics and error handling on large scale RL jobs. Refactoring existing agent, data, eval, training frameworks for better modularity. Designing operation procedures and coding standards to streamline the transition from small scale experimentation to large scale RL training. Writing unit tests, CI/CD frameworks to support rapid development cycles. BASIC QUALIFICATIONS: Experience building and...",5,"cd, ci, experience, infrastructure, job",4715499007-4,https://job-boards.greenhouse.io/xai/jobs/4715499007,xAI,"Member of Technical Staff - RL Infrastructure Palo Alto, CA",
6,Which locations host jobs that require both model evaluation and benchmarking experience?,"All employees are expected to have strong communication skills. They should be able to concisely and accurately share knowledge with their teammates. ABOUT THE ROLE: xAI is seeking experienced software engineers to create robust data pipelines, comprehensive evaluations for benchmarking LLMs, and automation frameworks to increase the productivity of researchers and engineers. Typical problems you will deal with include the following: We have a new agentic model capability that we’d like to...",4,"benchmarking, evaluation, experience, model",4715499007-2,https://job-boards.greenhouse.io/xai/jobs/4715499007,xAI,"Member of Technical Staff - RL Infrastructure Palo Alto, CA",
7,Which companies have open roles that list remote-friendly locations and also list AI or machine learning skills?,"Application Security Engineer Palo Alto, CA | xAI Back to jobs Application Security Engineer Palo Alto, CA Apply About xAI xAI’s mission is to create AI systems that can accurately understand the universe and aid humanity in its pursuit of knowledge. Our team is small, highly motivated, and focused on engineering excellence. This organization is for individuals who appreciate challenging themselves and thrive on curiosity. We operate with a flat organizational structure. All employees are...",4,"ai, learning, machine, skills",4559147007-1,https://job-boards.greenhouse.io/xai/jobs/4559147007,xAI,"Application Security Engineer Palo Alto, CA",
8,Which jobs include both security/privacy related terms and are in engineering role categories?,"Application Security Engineer Palo Alto, CA | xAI Back to jobs Application Security Engineer Palo Alto, CA Apply About xAI xAI’s mission is to create AI systems that can accurately understand the universe and aid humanity in its pursuit of knowledge. Our team is small, highly motivated, and focused on engineering excellence. This organization is for individuals who appreciate challenging themselves and thrive on curiosity. We operate with a flat organizational structure. All employees are...",3,"engineering, jobs, security",4559147007-1,https://job-boards.greenhouse.io/xai/jobs/4559147007,xAI,"Application Security Engineer Palo Alto, CA",
9,Which companies are recruiting for senior-level positions that also reference distributed systems or large-scale systems?,"Push the state of the art in large-scale GPU cluster operations and AI workload reliability BASIC QUALIFICATIONS: 5+ years shipping production software and/or operating distributed infrastructure at scale Expert-level knowledge of Linux systems, TCP/IP networking, and systems programming Strong coding skills with proven production experience in Rust (strongly preferred) and at least one of Python, Go, or C++.",6,"distributed, large, level, scale, systems",4801451007-5,https://job-boards.greenhouse.io/xai/jobs/4801451007,xAI,"Member of Technical Staff - Infrastructure Reliability Palo Alto, CA",
10,Which job postings are full-time and list either Kubernetes or Docker as required skills?,"Create alert Apply for this job * indicates a required field Autofill with MyGreenhouse First Name * Last Name * Email * Phone Country * Phone * Resume/CV * Attach Attach Dropbox Google Drive Enter manually Enter manually Accepted file types: pdf, doc, docx, txt, rtf Full Legal Name * Current Company If you are currently employed in the field, please tell us the name of your employer. Current title If you are currently employed in the field, please tell us your role including your seniority...",5,"docker, full, job, kubernetes, required",4835611007-7,https://job-boards.greenhouse.io/xai/jobs/4835611007,xAI,"Security Engineer - Platform Security Palo Alto, CA",
